model,well_id,window_start,window_end,n_points,rmse,mae,smape
ExponentialSmoothing,161933,2022-01-01,2024-12-01,36,177.5859445779618,140.43140626512994,38.835567464606605
ExponentialSmoothing,161934,2022-01-01,2024-12-01,36,138.03811318928305,101.94777699857121,36.038506532705895
ExponentialSmoothing,161935,2022-01-01,2024-12-01,36,146.24953785572174,122.41783156660738,39.818314112839225
ExponentialSmoothing,161948,2022-01-01,2024-12-01,36,175.1557253339082,128.27861172001394,50.49945176115746
ExponentialSmoothing,161949,2022-01-01,2024-12-01,36,147.34301835766422,118.19055514387784,34.44818275762051
ExponentialSmoothing,161950,2022-01-01,2024-12-01,36,170.37092088334649,134.36722139764163,46.47434575802148
ExponentialSmoothing,161951,2022-01-01,2024-12-01,36,177.86338873423242,135.7297196003129,29.357929572275552
ExponentialSmoothing,161953,2022-01-01,2024-12-01,36,125.48743486735277,90.78333306095666,47.01783189117469
ExponentialSmoothing,161954,2022-01-01,2024-12-01,36,148.24905079420398,102.72027696374393,45.782932121883604
ExponentialSmoothing,161955,2022-01-01,2024-12-01,36,142.07744938046807,100.28583310373129,48.48069401657747
ExponentialSmoothing,162001,2022-01-01,2024-12-01,36,140.51340445164757,116.77444428859485,18.24214252084622
ExponentialSmoothing,162024,2022-01-01,2024-12-01,36,243.27600232880138,214.21277553612993,57.705637843035234
ExponentialSmoothing,162025,2022-01-01,2024-12-01,36,159.3203735607827,139.86706444512944,64.40884796811302
ExponentialSmoothing,162026,2022-01-01,2024-12-01,36,223.44640067250583,190.74555749790534,60.0985104199348
ExponentialSmoothing,162027,2022-01-01,2024-12-01,36,200.91598100764514,155.92968593519694,59.86328769085483
ExponentialSmoothing,162028,2022-01-01,2024-12-01,36,299.6016688796422,220.68416740424098,50.81430268540678
ExponentialSmoothing,162029,2022-01-01,2024-12-01,36,99.72799989218586,79.60966633990523,50.31949254004023
ExponentialSmoothing,162030,2022-01-01,2024-12-01,36,213.9955617680904,175.6545374067815,48.35159823071597
ExponentialSmoothing,162080,2022-01-01,2024-12-01,36,216.97364888410652,178.39993731545852,57.87016013200244
ExponentialSmoothing,162081,2022-01-01,2024-12-01,36,134.53469761255525,111.08055549000699,42.45155728061795
ExponentialSmoothing,162082,2022-01-01,2024-12-01,36,133.64157523341666,103.69222192195554,45.49123425724755
ExponentialSmoothing,162083,2022-01-01,2024-12-01,36,83.50408514592618,69.18944425002569,39.91884808801091
ExponentialSmoothing,162085,2022-01-01,2024-12-01,36,156.8486364362198,121.28444441553617,57.98296846840415
Theta,156320,2019-01-01,2024-12-01,72,85.99636014659913,51.156956933852975,92.58013360907394
Theta,156332,2018-02-01,2022-01-01,48,73.94070590157551,53.42156009067884,137.2377165169945
Theta,156333,2019-01-01,2024-12-01,72,48.12420709480688,37.29437828576275,105.11961541607752
Theta,156334,2018-07-01,2023-06-01,60,55.450575444610166,43.99060705532811,82.676513870846
Theta,156335,2018-08-01,2024-07-01,72,50.3695716997528,36.97750311316265,72.87822467525862
Theta,156336,2018-11-01,2024-10-01,72,46.907738721883646,34.19656943978902,75.87449531693422
Theta,156338,2019-01-01,2024-12-01,72,68.19599053151985,49.090381687227705,126.54355306327746
Theta,156339,2018-03-01,2023-02-01,60,123.41507423521338,108.11335444124246,87.39585943199458
Theta,156473,2019-01-01,2024-12-01,72,41.742952736466435,31.97005897390179,66.10142710940433
Theta,156475,2018-09-01,2023-08-01,60,97.31057031525121,73.69106071910684,80.62811503294628
Theta,156488,2019-01-01,2024-12-01,72,61.69718057924688,47.60842843152844,81.41525213714104
Theta,156490,2019-01-01,2024-12-01,72,50.48462763161052,39.808831765658724,75.89802393728564
Theta,156491,2018-06-01,2022-05-01,48,52.670315500458265,41.0399712802383,85.62512678076159
Theta,156492,2019-01-01,2022-12-01,48,50.86877900883919,40.76329692671118,115.46600682474498
Theta,156493,2018-12-01,2021-11-01,36,41.39527845734163,31.95480143081105,59.76858280942228
Theta,156550,2019-01-01,2024-12-01,72,79.79854778279204,60.74999743180326,71.00378456925002
Theta,156553,2018-10-01,2022-09-01,48,87.26199517023754,69.30426375714897,96.13227730739554
Theta,156554,2018-10-01,2023-09-01,60,105.5897816986562,85.31164679913867,99.18578192201356
Theta,156555,2019-01-01,2024-12-01,72,77.28572687830538,59.305912893255964,68.80399676170242
Theta,156697,2019-01-01,2024-12-01,72,159.98130204620568,126.84833035471037,101.46807657951267
Theta,156707,2018-06-01,2022-05-01,48,98.62801043298639,87.7632381353166,78.90729584951576
Theta,156709,2019-01-01,2024-12-01,72,61.60372870635295,50.382899429878826,70.26790125987637
Theta,156710,2018-06-01,2022-05-01,48,129.44577684036312,93.06128258098171,42.74885707256046
Theta,156751,2018-06-01,2023-05-01,60,64.57655521957936,49.678073591960846,133.23839301421776
Theta,156756,2019-01-01,2024-12-01,72,73.97692905163812,58.087974445734616,115.90059595038419
Theta,156757,2018-09-01,2022-08-01,48,70.88889790852288,56.7376061891056,88.96570880263427
